timestamp,position lat,position long,heart rate,cadence,distance,temperature,fractional cadence,enhanced speed,km/hr speed,time/km,enhanced altitude,cycle length 16,performance condition,,wrist heart rate
1084945937,-404031504,1803250725,141,78,261428,18,64,2109,7.5924,7.902639482,2503,0,,25,141
1084945941,-404032188,1803251325,141,79,262229,18,64,2099,7.5564,7.940289027,2502,881,,72,141
1084945943,-404032421,1803251524,141,79,262500,18,64,2090,7.524,7.974481659,2500,881,,72,141
1084945950,-404033612,1803252121,140,80,263701,18,0,2025,7.29,8.230452675,2500,881,,129,140
1084945957,-404035115,1803252706,137,79,265165,18,64,1810,6.516,9.208103131,2501,,,72,137
1084945961,-404036129,1803252965,136,79,266131,18,64,1782,6.4152,9.352787131,2500,,,72,136
1084945968,-404037816,1803253289,135,79,267728,18,0,1941,6.9876,8.586639189,2499,0,,108,135
1084945975,-404039554,1803253524,138,80,269356,18,0,2071,7.4556,8.047642041,2500,0,,129,138
1084945978,-404040295,1803253391,141,79,270053,18,64,2127,7.6572,7.83576242,2500,0,,108,141
1084945981,-404040950,1803253177,144,78,270684,18,64,2183,7.8588,7.634753397,2499,0,,88,144
1084945988,-404042357,1803252091,144,80,272253,18,0,2174,7.8264,7.666360012,2501,0,,88,144
1084945996,-404043308,1803250278,144,78,273934,18,0,2183,7.8588,7.634753397,2498,0,,72,144
1084946003,-404043893,1803248571,143,77,275366,18,64,2174,7.8264,7.666360012,2496,0,,147,143
1084946008,-404044287,1803247406,140,78,276342,18,0,2155,7.758,7.733952049,2493,0,,108,140
1084946018,-404045238,1803244961,139,80,278437,18,0,2127,7.6572,7.83576242,2492,,,162,139
1084946027,-404046052,1803242593,138,78,280423,18,0,2137,7.6932,7.799095305,2491,0,,162,138
1084946035,-404046761,1803240729,138,76,282029,18,64,2127,7.6572,7.83576242,2492,0,,162,138
1084946040,-404047252,1803239507,141,77,283081,18,0,2118,7.6248,7.869058861,2491,0,,162,141
